Scientific,Common_Nam,Circumfere,Height,Spread,Points,Latitude_NAD83,Longitude_NAD83,POINT_X_NAD83_17N,POINT_Y_NAD83_17N,Database,National_C,Year,Nominated by
Nyssa aquatica,Water tupelo,209.0,90.0,30.0,307.0,33.8228,-80.8067,517886.98,3742528.00,Jones1996,,1996,
Nyssa biflora,Swamp Tupelo,191.0,116.0,69.0,324.3,33.8237,-80.8429,514539.30,3742617.71,Clemson,State,2012,
Nyssa biflora,Swamp tupelo,190.5,116.1,69.0,324.0,33.8237,-80.8429,514537.76,3742618.82,Phillips,National Champion,2012,
Nyssa biflora,Swamp Tupelo,190.5,116.0,69.0,323.8,33.8237,-80.8429,514539.30,3742617.71,Clemson,State,2012,
Nyssa biflora,Swamp Tupelo,191.0,116.0,65.0,323.3,33.8237,-80.8429,514538.78,3742618.94,Clemson,State,2012,
Nyssa biflora,Swamp Tupelo,177.0,95.0,,,33.8194,-80.7985,518647.39,3742149.95,Grego2014,,2014,
Nyssa biflora,Swamp Tupelo,165.0,,,,33.8217,-80.8028,518248.97,3742404.19,Grego2014,,2014,
Nyssa sylvatica,Blackgum,188.4,132.0,65.0,336.3,33.8237,-80.8429,514538.78,3742618.94,F.Chisolm Beckham,,2002,
Nyssa sylvatica,Blackgum,169.0,127.0,56.0,310.0,33.8263,-80.8229,516385.00,3742907.02,Jones1996,State Champ - Submitted,1996,
Nyssa sylvatica,Blackgum,172.0,113.0,55.0,299.0,33.8287,-80.8310,515637.01,3743180.03,Jones1996,STATE CHAMP,1996,
Nyssa sylvatica,Blackgum,163.0,123.0,32.0,294.0,33.8303,-80.8391,514892.02,3743356.04,Jones1996,,1996,
Nyssa sylvatica,Blackgum,149.0,112.0,37.0,270.0,33.8266,-80.8341,515352.02,3742940.02,Jones1996,,1996,
Nyssa sylvatica,Blackgum,143.0,107.0,59.0,265.0,33.8292,-80.8294,515783.01,3743233.03,Jones1996,,1996,
Nyssa sylvatica,Blackgum,130.0,118.0,48.0,260.0,33.8242,-80.8279,515928.01,3742677.01,Jones1996,,1996,
Persea borbonia,Redbay,86.0,67.5,50.0,167.0,33.7966,-80.8027,518264.20,3739620.56,Phillips,State Champion,2010,
Pinus echinata,Shortleaf Pine,93.0,90.0,53.0,196.3,,,516186.00,3743470.00,Henning2014,,2014,
Pinus echinata,Shortleaf Pine,93.0,90.0,53.0,,,,516186.00,3743470.00,Henning2014,,2014,
Pinus palustris,Longleaf Pine,68.0,95.0,65.0,179.3,,,516348.00,3743563.00,Henning2014,,2014,
Pinus palustris,Longleaf Pine,68.0,95.0,65.0,,,,516348.00,3743563.00,Henning2014,,2014,
Pinus taeda,Loblolly pine,186.0,168.7,85.5,376.0,33.8183,-80.8136,517250.63,3742024.44,Phillips,National Champion,2009,
Pinus taeda,Loblolly pine,181.0,168.7,85.0,371.0,33.8183,-80.8136,517249.18,3742025.97,Clemson,National Champ,2012,
Pinus taeda,Loblolly pine,176.0,167.0,71.0,360.8,33.8183,-80.8136,517249.18,3742025.97,F.Chisolm Beckham,National Champ,2004,
Pinus taeda,Loblolly pine,194.0,150.0,62.5,359.6,33.8198,-80.8040,518138.32,3742193.32,Grego2014,,2014,
Pinus taeda,Loblolly pine,167.0,169.0,60.0,351.0,33.8189,-80.8135,517260.99,3742092.99,Jones1996,STATE CO-CHAMP,1996,
Pinus taeda,Loblolly pine,172.0,164.0,54.0,350.0,33.8187,-80.8138,517228.99,3742064.99,Jones1996,STATE CO-CHAMP,1996,
Pinus taeda,Loblolly pine,178.0,158.0,40.0,346.0,33.8222,-80.8192,516726.99,3742454.00,Jones1996,STATE CO-CHAMP,1996,
Pinus taeda,Loblolly pine,188.0,141.5,54.0,343.5,33.8221,-80.8193,516722.47,3742445.19,Phillips,Former State Champion,2009,
Pinus taeda,Loblolly pine,168.0,160.0,54.0,342.0,33.8291,-80.8418,514640.03,3743218.03,Jones1996,,1996,
Pinus taeda,Loblolly pine,163.0,162.0,60.0,340.0,33.8241,-80.8218,516492.00,3742672.01,Jones1996,,1996,
Pinus taeda,Loblolly pine,176.0,150.0,48.0,338.0,33.8138,-80.8001,518495.97,3741529.97,Jones1996,,1996,
Pinus taeda,Loblolly pine,169.0,150.0,71.0,337.0,33.8291,-80.8418,514640.03,3743218.03,Jones1996,30m north of tree num. 37,1996,
Pinus taeda,Loblolly pine,162.0,161.0,56.0,337.0,33.8285,-80.8417,514648.03,3743155.03,Jones1996,,1996,
Pinus taeda,Loblolly pine,162.0,159.0,59.0,336.0,33.8142,-80.7998,518524.97,3741577.97,Jones1996,,1996,
Pinus taeda,Loblolly pine,163.0,156.0,56.0,333.0,33.8285,-80.8417,514648.03,3743155.03,Jones1996,30m west of tree num. 35,1996,
Pinus taeda,Loblolly pine,179.5,0.0,0.0,0.0,33.8138,-80.8002,518491.43,3741528.11,Phillips,,2011,
